,,Total,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Dyfed Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,London Met.,Merseyside,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
,5 times,4%,5%,3%,6%,6%,-,6%,3%,4%,4%,1%,5%,3%,1%,2%,5%,3%,2%,5%,5%,2%,4%,2%,7%,5%,7%,2%,6%,7%,2%,5%,5%,3%,3%,4%,3%,3%,4%,2%,3%,8%,4%,5%,4%
,6 times,5%,3%,4%,5%,8%,-,3%,5%,7%,4%,4%,6%,5%,4%,4%,5%,8%,4%,1%,4%,6%,6%,10%,5%,6%,10%,3%,5%,6%,4%,11%,6%,4%,5%,4%,2%,5%,4%,4%,4%,7%,6%,6%,8%
,7 times,2%,3%,3%,2%,-,-,5%,1%,1%,-,1%,-,3%,1%,-,1%,3%,-,4%,3%,3%,-,1%,2%,1%,-,-,1%,4%,3%,2%,1%,-,2%,1%,1%,-,-,1%,2%,2%,2%,2%,-
,8 times,2%,-,1%,2%,-,-,3%,2%,1%,-,3%,4%,-,1%,3%,2%,2%,2%,1%,-,1%,2%,1%,1%,2%,3%,2%,1%,1%,4%,1%,2%,1%,1%,4%,2%,3%,-,-,4%,-,1%,2%,1%
,9 times,1%,-,-,-,1%,-,-,1%,-,-,-,1%,1%,2%,1%,1%,-,-,2%,1%,1%,1%,-,-,1%,-,-,-,-,1%,-,-,2%,2%,-,-,2%,1%,-,-,1%,1%,-,1%
,10 times,3%,6%,2%,3%,2%,-,3%,3%,3%,2%,1%,3%,3%,1%,2%,4%,2%,6%,6%,1%,2%,2%,1%,4%,3%,-,5%,2%,2%,3%,3%,4%,-,2%,7%,2%,2%,1%,5%,3%,3%,3%,3%,-
,More than 10 times,16%,11%,13%,11%,15%,29%,20%,14%,20%,13%,13%,19%,11%,21%,11%,18%,21%,16%,18%,27%,6%,20%,10%,8%,15%,22%,15%,14%,13%,20%,15%,25%,14%,23%,24%,12%,11%,11%,9%,23%,9%,18%,13%,16%
,Don't know,3%,4%,1%,6%,2%,14%,3%,5%,2%,5%,2%,5%,5%,2%,4%,3%,1%,2%,1%,1%,6%,1%,3%,1%,3%,2%,2%,1%,3%,4%,1%,1%,5%,1%,1%,2%,-,3%,1%,2%,2%,3%,2%,3%
,ONCE OR TWICE,46%,48%,51%,48%,46%,43%,40%,46%,43%,47%,55%,41%,47%,50%,54%,40%,37%,46%,43%,40%,49%,43%,51%,50%,49%,36%,49%,49%,44%,41%,42%,38%,53%,46%,35%,58%,57%,57%,56%,31%,50%,44%,45%,55%
,THREE TO FIVE TIMES,24%,24%,25%,22%,25%,14%,23%,22%,23%,28%,22%,19%,25%,18%,21%,26%,26%,23%,23%,22%,24%,24%,24%,29%,21%,27%,23%,27%,27%,20%,25%,24%,20%,17%,25%,21%,20%,22%,24%,30%,26%,23%,27%,16%
,MORE THAN FIVE TIMES,28%,24%,22%,23%,26%,29%,34%,26%,32%,20%,22%,34%,23%,30%,21%,31%,36%,29%,33%,36%,20%,32%,22%,20%,27%,35%,26%,23%,27%,35%,32%,37%,21%,36%,39%,19%,24%,17%,18%,36%,22%,30%,26%,26%

,Base: All who have called the police in past year,3743,56,66,64,60,4,68,94,116,63,62,65,66,65,70,266,111,63,72,78,60,66,77,65,271,78,64,62,65,72,65,79,52,75,85,62,58,55,65,80,68,275,274,61
Q.14.,"And in general, have these calls been to report the same anti-social behaviour problem or related problems, or have they been to report separate problems?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The same or related problems,66%,71%,67%,61%,65%,50%,74%,67%,66%,73%,60%,63%,64%,66%,59%,65%,73%,70%,71%,64%,57%,74%,64%,65%,63%,69%,53%,66%,66%,67%,71%,67%,73%,61%,74%,63%,59%,62%,72%,73%,66%,66%,65%,66%
,Separate problems,34%,29%,33%,39%,33%,50%,26%,32%,34%,27%,40%,35%,36%,34%,41%,34%,27%,30%,28%,36%,43%,26%,36%,35%,37%,29%,44%,34%,34%,33%,29%,33%,25%,39%,26%,37%,40%,38%,28%,28%,34%,33%,35%,34%
,Don't know,*,-,-,-,2%,-,-,1%,-,-,-,2%,-,-,-,1%,-,-,1%,-,-,-,-,-,-,1%,3%,-,-,-,-,-,2%,-,-,-,2%,-,-,-,-,1%,-,-

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.15.,And roughly how often do you report anti-social behaviour when you witness or experience it?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Always,41%,38%,43%,43%,44%,29%,43%,42%,41%,32%,43%,33%,36%,46%,37%,34%,52%,41%,44%,41%,34%,41%,48%,41%,36%,46%,48%,48%,46%,48%,42%,42%,40%,38%,49%,35%,35%,38%,39%,42%,39%,40%,45%,47%
,Sometimes,38%,35%,41%,32%,36%,57%,35%,38%,41%,45%,34%,50%,34%,35%,39%,46%,33%,34%,34%,43%,46%,36%,35%,43%,40%,37%,40%,33%,31%,35%,36%,38%,24%,41%,36%,49%,44%,39%,33%,38%,34%,40%,37%,35%
,Hardly ever,15%,23%,16%,19%,15%,14%,15%,12%,15%,14%,17%,12%,23%,15%,18%,14%,14%,22%,16%,11%,15%,17%,11%,10%,18%,15%,8%,14%,17%,13%,20%,16%,23%,15%,12%,10%,18%,18%,24%,11%,20%,15%,14%,12%
,Never,4%,3%,-,4%,3%,-,7%,7%,2%,6%,6%,5%,7%,3%,4%,5%,2%,2%,6%,4%,5%,5%,6%,6%,4%,-,3%,4%,3%,3%,2%,3%,10%,6%,4%,6%,2%,4%,3%,6%,7%,5%,3%,3%
,Don't know,1%,1%,1%,2%,1%,-,-,1%,1%,2%,-,-,-,1%,1%,1%,-,1%,-,-,-,-,-,-,1%,1%,1%,1%,3%,1%,-,1%,2%,-,-,1%,1%,1%,1%,2%,-,*,1%,2%

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.16.,When did you last call the police to report anti-social behaviour?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In the last week,7%,1%,8%,6%,6%,14%,6%,8%,4%,5%,7%,4%,4%,10%,4%,8%,12%,8%,11%,7%,7%,7%,5%,6%,7%,13%,11%,12%,5%,5%,8%,11%,12%,10%,9%,7%,5%,5%,8%,8%,4%,8%,8%,8%
,Over one week up to 1 month ago,12%,13%,13%,15%,9%,29%,9%,11%,18%,11%,11%,15%,14%,10%,9%,14%,11%,9%,12%,12%,11%,13%,11%,9%,14%,14%,6%,9%,13%,13%,13%,14%,8%,14%,13%,9%,12%,11%,11%,11%,13%,10%,11%,13%
,Over 1 month up to 3 months ago,17%,12%,19%,20%,17%,29%,21%,18%,16%,13%,13%,17%,15%,19%,11%,20%,25%,18%,20%,24%,11%,22%,13%,18%,15%,18%,17%,18%,17%,21%,14%,15%,13%,19%,18%,11%,10%,9%,17%,22%,24%,20%,16%,12%
,Over 3 months up to 6 months ago,20%,20%,15%,19%,14%,14%,18%,20%,17%,25%,21%,15%,18%,17%,27%,21%,24%,15%,16%,14%,17%,14%,28%,19%,19%,24%,16%,16%,18%,25%,20%,19%,14%,17%,15%,17%,26%,19%,30%,24%,13%,21%,22%,16%
,Over 6 months up to 1 year ago,40%,49%,43%,35%,51%,14%,40%,38%,39%,38%,43%,40%,45%,39%,43%,33%,24%,46%,32%,36%,49%,38%,40%,41%,41%,29%,40%,40%,44%,35%,42%,39%,51%,36%,40%,52%,44%,50%,31%,31%,45%,37%,38%,46%
,Don't know,4%,4%,3%,4%,3%,-,6%,5%,5%,7%,6%,9%,4%,5%,5%,5%,3%,4%,8%,6%,5%,5%,4%,7%,3%,2%,9%,5%,3%,1%,3%,3%,1%,3%,4%,4%,2%,5%,3%,3%,1%,4%,5%,4%

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.17.,The records we have indicate that you made a call to the police in September 2009 to report (ASB closing category). Do you remember making this call?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,80%,82%,87%,84%,82%,57%,77%,77%,80%,82%,75%,81%,81%,79%,87%,77%,76%,78%,79%,72%,79%,78%,89%,82%,79%,82%,77%,84%,80%,82%,87%,81%,78%,76%,78%,88%,82%,89%,83%,77%,85%,78%,79%,83%
,No,18%,14%,9%,13%,17%,43%,22%,21%,19%,15%,25%,13%,18%,21%,13%,19%,23%,22%,16%,25%,18%,21%,10%,17%,18%,13%,20%,13%,18%,15%,13%,18%,19%,22%,17%,10%,16%,9%,17%,23%,14%,18%,19%,17%
,Don't know,2%,3%,4%,3%,1%,-,1%,2%,1%,2%,-,6%,1%,-,-,4%,1%,-,5%,3%,3%,1%,1%,1%,3%,4%,3%,3%,2%,3%,-,1%,3%,2%,5%,2%,1%,2%,1%,-,1%,4%,2%,-

,Base: All who cannot remember ASB call in September 2009,1090,17,13,16,18,3,22,35,32,17,25,18,19,22,13,85,36,20,21,28,20,21,13,18,82,17,23,15,19,18,12,21,22,24,23,12,17,11,18,23,15,86,83,17
Q.18.,Can you tell me the type of anti-social behaviour your most recent call was about?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rowdy or inconsiderate behaviour,29%,53%,15%,38%,28%,-,50%,43%,28%,24%,28%,44%,47%,45%,23%,26%,19%,35%,24%,29%,20%,29%,31%,11%,32%,18%,22%,20%,16%,6%,50%,38%,32%,38%,39%,17%,35%,36%,44%,13%,20%,22%,25%,47%
,Vandalism/ graffiti,10%,12%,23%,6%,17%,-,-,6%,9%,12%,12%,-,11%,18%,-,8%,6%,10%,5%,18%,10%,10%,15%,17%,6%,18%,9%,20%,-,17%,-,14%,5%,8%,13%,-,6%,-,11%,13%,7%,9%,13%,12%
,Vehicle nuisance/ inappropriate vehicle use,8%,-,15%,6%,11%,33%,5%,-,6%,6%,4%,6%,-,5%,8%,7%,17%,10%,5%,4%,15%,14%,8%,-,6%,18%,13%,-,16%,-,-,10%,9%,13%,4%,25%,18%,-,11%,17%,20%,15%,6%,-
,Teenagers/ kids in street,8%,-,-,-,11%,-,5%,3%,6%,12%,-,6%,5%,-,-,7%,11%,-,14%,7%,10%,14%,8%,11%,12%,12%,13%,7%,5%,6%,-,-,14%,8%,4%,17%,6%,-,-,17%,27%,7%,17%,-
,Nuisance neighbours,8%,6%,-,13%,17%,-,9%,3%,3%,6%,4%,11%,11%,5%,8%,9%,14%,5%,5%,11%,-,10%,8%,11%,5%,12%,4%,13%,5%,11%,8%,10%,9%,8%,4%,-,12%,9%,11%,9%,13%,6%,7%,12%
,Street drinking,6%,-,-,13%,6%,-,9%,-,9%,18%,8%,6%,5%,14%,8%,6%,3%,15%,5%,4%,5%,10%,8%,6%,1%,6%,17%,13%,5%,17%,25%,5%,5%,-,13%,8%,6%,-,-,-,-,6%,4%,-
,Noise,4%,-,-,6%,-,-,-,9%,-,-,8%,-,5%,-,8%,2%,6%,-,10%,-,-,10%,-,6%,10%,-,4%,-,-,-,-,-,5%,-,4%,8%,6%,-,11%,9%,7%,6%,1%,-
,Trespass,4%,-,8%,-,6%,-,5%,6%,6%,6%,-,-,-,5%,15%,2%,8%,5%,-,4%,5%,-,-,-,4%,-,-,-,32%,-,-,-,-,8%,4%,-,-,9%,6%,-,-,5%,1%,6%
,Assault/fighting,3%,-,-,-,-,-,5%,6%,3%,6%,8%,-,-,5%,-,5%,3%,5%,14%,-,-,-,8%,-,2%,12%,-,-,-,-,-,-,5%,-,-,-,-,9%,-,-,-,-,4%,6%
,Theft,2%,-,-,6%,-,-,-,6%,3%,6%,4%,-,-,-,8%,4%,-,5%,-,4%,-,5%,15%,-,2%,-,4%,-,-,6%,-,5%,-,-,-,-,-,-,-,-,-,-,2%,-
,Using/dealing drugs,2%,-,8%,6%,6%,-,-,3%,3%,-,-,-,5%,-,8%,-,-,-,-,7%,5%,-,-,-,2%,-,-,-,-,6%,-,-,5%,-,-,-,6%,-,-,-,-,3%,-,6%
,Threatening behaviour,1%,-,8%,-,-,-,-,-,-,-,12%,11%,-,5%,-,2%,3%,-,-,4%,5%,-,-,-,-,-,-,-,-,6%,-,-,-,-,-,-,-,-,-,4%,-,1%,-,-
,Littering/ drugs paraphernalia,1%,6%,8%,-,-,-,-,-,-,-,-,-,-,-,8%,-,6%,-,-,4%,-,-,-,-,5%,-,4%,-,-,-,-,5%,-,-,-,-,-,-,-,-,-,1%,1%,-
,Animal problems,1%,-,-,-,-,-,-,3%,-,-,4%,6%,-,-,-,-,-,-,-,-,-,-,-,-,-,6%,-,7%,11%,-,-,-,-,-,-,8%,-,-,6%,-,-,3%,-,-
,Starting fires,1%,-,-,-,-,-,-,3%,3%,-,-,-,-,-,-,1%,6%,5%,5%,-,-,-,-,-,-,-,-,-,-,-,-,-,5%,8%,-,-,-,-,-,-,-,-,1%,-
,Harassment,1%,-,-,-,-,-,-,3%,-,-,-,-,-,-,-,5%,-,-,-,-,-,-,-,-,1%,-,-,-,-,6%,-,10%,-,-,4%,-,-,-,-,-,-,-,-,-
,Verbal abuse/racial abuse,1%,-,-,-,-,33%,-,-,-,-,-,-,-,-,-,2%,-,-,5%,-,10%,-,-,6%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,1%,-
,Criminal damage,1%,-,-,-,-,-,-,-,3%,-,-,-,-,-,-,2%,-,-,-,-,-,-,-,6%,-,-,-,-,-,-,-,-,-,-,4%,-,-,-,-,-,-,2%,1%,-
,Begging/ vagrancy,1%,6%,8%,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,-,4%,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-
,Vehicle damage,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4%,-,2%,-,-
,Bullying,*,-,-,-,-,-,5%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6%,-,-,-,-,4%,-,-,18%,-,-,-,-,-,-
,Carrying firearms,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5%,-,-,6%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,6%
,Throwing stones/objects,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6%,-,-,-,7%,-,-,-,5%,-,-,-,-,-,-,-,4%,-,-,-,-
,Prostitution related activity,*,-,8%,-,-,-,-,-,-,-,4%,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-
,Abandoned vehicles,*,-,-,-,-,-,-,-,3%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-
,Inappropriate use/ sale/ possession of fireworks,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6%,-,-,-,4%,-,-,-,-,-,-,-,-,-,-
,Other,2%,-,-,-,-,-,-,3%,6%,6%,4%,6%,-,-,-,2%,-,-,5%,4%,-,-,-,-,4%,-,-,-,-,11%,-,-,-,-,-,8%,6%,-,-,4%,-,1%,7%,6%
,Don't know,5%,18%,-,6%,-,33%,9%,6%,6%,-,-,6%,11%,-,8%,5%,-,5%,5%,-,10%,-,-,17%,5%,-,9%,13%,11%,-,17%,-,9%,4%,-,8%,-,18%,-,4%,7%,5%,6%,-

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.19.,"Overall, to what extent were you satisfied or dissatisfied with how the police handled your call?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very satisfied,37%,41%,39%,54%,48%,71%,45%,47%,33%,43%,46%,43%,39%,32%,38%,34%,33%,41%,36%,32%,38%,32%,40%,40%,29%,39%,38%,44%,33%,40%,46%,33%,31%,33%,46%,43%,49%,41%,42%,27%,34%,31%,35%,29%
,Fairly satisfied,28%,22%,32%,24%,30%,29%,27%,27%,30%,32%,19%,30%,28%,29%,23%,29%,35%,26%,26%,34%,25%,37%,32%,27%,28%,23%,36%,22%,32%,26%,26%,25%,34%,27%,29%,32%,12%,20%,36%,24%,24%,28%,30%,26%
,Neither satisfied nor dissatisfied,5%,7%,4%,5%,4%,-,3%,3%,9%,3%,4%,3%,4%,7%,2%,5%,7%,3%,3%,8%,4%,7%,7%,6%,5%,6%,4%,2%,7%,4%,7%,8%,6%,8%,4%,2%,8%,6%,5%,5%,8%,4%,4%,6%
,Fairly dissatisfied,10%,13%,12%,6%,3%,-,6%,8%,13%,9%,10%,7%,10%,10%,12%,10%,8%,13%,12%,12%,11%,7%,6%,8%,13%,12%,10%,14%,9%,15%,7%,15%,9%,15%,10%,6%,10%,8%,5%,15%,10%,10%,11%,14%
,Very dissatisfied,18%,15%,14%,8%,13%,-,18%,13%,15%,12%,21%,17%,18%,21%,22%,21%,16%,17%,22%,10%,21%,15%,15%,18%,23%,19%,11%,16%,16%,15%,13%,18%,19%,17%,12%,15%,18%,22%,12%,28%,24%,24%,18%,24%
,Don't know,1%,1%,-,2%,1%,-,1%,3%,-,-,1%,-,1%,1%,2%,1%,1%,-,1%,3%,1%,1%,1%,1%,2%,1%,1%,2%,3%,-,-,2%,1%,-,-,3%,2%,2%,1%,-,-,3%,2%,-
,SATISFIED,65%,63%,71%,79%,79%,100%,72%,74%,63%,75%,65%,72%,67%,61%,62%,63%,68%,67%,61%,67%,63%,69%,72%,67%,57%,62%,73%,66%,65%,66%,73%,57%,64%,59%,75%,74%,62%,61%,78%,52%,58%,59%,66%,56%
,DISSATISFIED,28%,29%,25%,14%,16%,-,24%,20%,28%,22%,30%,24%,28%,31%,34%,31%,24%,30%,35%,22%,32%,22%,20%,26%,37%,31%,21%,30%,24%,30%,20%,33%,29%,33%,21%,21%,28%,31%,17%,43%,34%,34%,28%,38%
,NET SATISFIED,37%,34%,46%,64%,63%,100%,48%,53%,35%,54%,34%,48%,39%,30%,27%,33%,44%,37%,27%,44%,32%,47%,51%,41%,20%,31%,52%,36%,40%,36%,53%,25%,36%,27%,54%,53%,34%,31%,61%,8%,24%,25%,37%,17%

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.20.,"Thinking of your contact with the police, overall, to what extent were you satisfied or dissatisfied with the way you were treated by police officers and/ or staff during the course of your contact with them?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very satisfied,50%,58%,50%,69%,58%,86%,59%,56%,50%,56%,55%,54%,57%,47%,47%,48%,47%,52%,47%,48%,59%,52%,58%,49%,39%,56%,49%,53%,46%,57%,60%,49%,47%,48%,65%,51%,58%,48%,56%,34%,42%,45%,51%,42%
,Fairly satisfied,27%,22%,28%,20%,25%,14%,22%,25%,28%,28%,29%,28%,22%,23%,27%,28%,36%,32%,20%,31%,21%,32%,27%,25%,32%,21%,33%,29%,31%,26%,28%,30%,26%,24%,26%,28%,18%,29%,25%,35%,28%,28%,27%,28%
,Neither satisfied nor dissatisfied,4%,4%,6%,5%,6%,-,3%,2%,5%,1%,2%,-,4%,10%,4%,5%,1%,1%,4%,3%,-,3%,2%,5%,5%,4%,4%,2%,3%,1%,2%,4%,6%,6%,-,6%,4%,2%,2%,3%,6%,4%,4%,3%
,Fairly dissatisfied,6%,6%,6%,1%,3%,-,6%,7%,6%,5%,3%,6%,6%,8%,5%,4%,6%,8%,10%,7%,7%,4%,3%,8%,8%,8%,7%,2%,7%,6%,1%,10%,8%,6%,3%,5%,4%,6%,5%,10%,8%,8%,5%,9%
,Very dissatisfied,11%,9%,10%,4%,7%,-,7%,8%,10%,10%,10%,12%,10%,10%,16%,14%,7%,8%,17%,8%,9%,6%,11%,11%,15%,11%,4%,11%,11%,10%,7%,5%,13%,14%,6%,9%,15%,14%,11%,17%,15%,14%,11%,17%
,Don't know,1%,1%,1%,-,1%,-,2%,3%,-,-,1%,-,1%,2%,-,1%,3%,-,1%,2%,3%,2%,-,2%,2%,-,3%,3%,2%,-,1%,2%,-,1%,-,1%,1%,1%,1%,-,1%,2%,2%,-
,SATISFIED,78%,79%,78%,90%,83%,100%,81%,81%,78%,84%,84%,82%,79%,70%,75%,76%,83%,84%,67%,80%,80%,84%,85%,74%,71%,76%,82%,82%,77%,83%,88%,79%,72%,72%,91%,79%,75%,77%,82%,70%,70%,73%,78%,71%
,DISSATISFIED,17%,15%,16%,5%,10%,-,14%,14%,17%,15%,13%,18%,16%,18%,21%,18%,13%,15%,28%,15%,17%,11%,14%,19%,23%,20%,11%,13%,18%,16%,8%,15%,21%,20%,9%,14%,20%,20%,16%,27%,23%,22%,16%,26%
,NET SATISFIED,61%,64%,62%,85%,73%,100%,68%,66%,62%,68%,72%,64%,63%,51%,54%,58%,70%,69%,40%,65%,63%,73%,71%,55%,48%,57%,70%,69%,59%,67%,80%,64%,51%,52%,83%,65%,56%,56%,66%,42%,47%,51%,62%,44%

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.21.,To what extent were you satisfied or dissatisfied with the following aspects of how you were treated by the police?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,How well they listened to what you had to say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very satisfied,54%,55%,53%,68%,64%,100%,60%,63%,59%,60%,58%,57%,61%,52%,57%,50%,52%,49%,50%,52%,57%,55%,61%,53%,44%,58%,57%,53%,56%,56%,63%,53%,51%,53%,61%,57%,61%,57%,62%,47%,42%,47%,50%,45%
,Fairly satisfied,29%,24%,27%,21%,24%,-,28%,22%,25%,28%,25%,23%,23%,32%,25%,31%,34%,33%,28%,36%,25%,28%,26%,32%,31%,25%,37%,31%,22%,29%,25%,26%,31%,29%,25%,31%,18%,27%,26%,26%,31%,33%,32%,31%
,Neither satisfied nor dissatisfied,3%,3%,5%,2%,1%,-,2%,-,6%,1%,3%,2%,3%,2%,1%,2%,2%,3%,4%,2%,1%,3%,3%,1%,4%,3%,-,3%,3%,3%,1%,5%,3%,1%,3%,2%,3%,3%,1%,2%,5%,3%,3%,2%
,Fairly dissatisfied,5%,7%,7%,4%,4%,-,2%,6%,4%,4%,4%,9%,3%,4%,4%,6%,5%,8%,6%,5%,6%,7%,5%,6%,8%,6%,3%,3%,6%,2%,3%,7%,3%,6%,4%,5%,8%,5%,4%,8%,7%,6%,5%,10%
,Very dissatisfied,9%,9%,8%,4%,7%,-,7%,7%,6%,7%,8%,9%,10%,9%,13%,11%,6%,6%,11%,4%,8%,4%,4%,8%,13%,8%,2%,6%,11%,9%,7%,8%,12%,11%,7%,4%,9%,7%,5%,16%,15%,11%,9%,9%
,Don't know,1%,2%,-,-,-,-,-,3%,-,-,2%,-,-,1%,-,1%,1%,-,1%,1%,2%,2%,1%,-,*,-,1%,3%,1%,1%,-,-,-,-,1%,1%,1%,1%,2%,-,-,1%,1%,2%
,SATISFIED,82%,78%,81%,90%,88%,100%,89%,85%,83%,88%,83%,81%,84%,85%,82%,81%,86%,83%,78%,88%,82%,83%,87%,85%,76%,82%,94%,84%,79%,85%,88%,79%,82%,82%,86%,88%,78%,84%,88%,74%,73%,80%,82%,77%
,DISSATISFIED,14%,16%,15%,8%,11%,-,9%,13%,11%,11%,12%,17%,13%,12%,17%,16%,11%,14%,17%,9%,15%,12%,9%,14%,20%,14%,5%,10%,17%,11%,11%,15%,15%,17%,11%,9%,18%,12%,9%,24%,22%,16%,14%,19%
,NET SATISFIED,68%,62%,66%,82%,77%,100%,79%,72%,73%,76%,72%,64%,71%,72%,65%,64%,76%,69%,60%,79%,67%,71%,78%,71%,55%,68%,89%,74%,62%,74%,78%,64%,66%,64%,75%,79%,61%,71%,80%,49%,51%,64%,68%,58%

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.22.,To what extent were you satisfied or dissatisfied with the following aspects of how you were treated by the police?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,How seriously your call was taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very satisfied,47%,49%,44%,62%,62%,100%,47%,53%,50%,55%,53%,50%,53%,37%,45%,43%,47%,48%,45%,44%,52%,44%,51%,45%,38%,49%,51%,49%,49%,50%,56%,39%,42%,41%,56%,54%,56%,47%,47%,41%,33%,42%,46%,32%
,Fairly satisfied,25%,23%,32%,23%,25%,-,31%,24%,23%,27%,24%,27%,20%,30%,26%,24%,26%,27%,22%,31%,24%,30%,27%,23%,26%,25%,24%,22%,24%,22%,23%,29%,27%,24%,23%,23%,12%,23%,32%,18%,27%,26%,28%,31%
,Neither satisfied nor dissatisfied,3%,4%,5%,2%,2%,-,2%,3%,4%,3%,5%,2%,5%,8%,2%,4%,1%,1%,1%,8%,1%,3%,5%,2%,4%,4%,3%,2%,2%,2%,3%,7%,4%,7%,1%,3%,2%,2%,3%,6%,6%,3%,2%,3%
,Fairly dissatisfied,9%,9%,11%,6%,4%,-,11%,7%,10%,6%,8%,7%,7%,10%,10%,11%,8%,6%,11%,7%,11%,12%,7%,14%,12%,11%,10%,10%,6%,8%,8%,15%,9%,12%,9%,7%,10%,7%,5%,15%,13%,7%,8%,10%
,Very dissatisfied,14%,13%,9%,6%,7%,-,8%,10%,12%,9%,10%,12%,13%,13%,16%,17%,17%,17%,17%,9%,12%,11%,9%,16%,18%,9%,9%,14%,15%,16%,9%,8%,16%,15%,10%,12%,19%,19%,13%,17%,18%,20%,14%,22%
,Don't know,1%,1%,-,-,-,-,-,3%,1%,-,1%,2%,2%,1%,-,1%,1%,-,3%,-,1%,1%,1%,-,1%,1%,2%,3%,3%,2%,-,2%,2%,-,2%,1%,1%,1%,1%,2%,3%,2%,1%,1%
,SATISFIED,72%,72%,76%,86%,87%,100%,78%,78%,73%,81%,76%,77%,73%,68%,72%,67%,73%,75%,67%,76%,76%,73%,78%,68%,64%,74%,76%,71%,73%,72%,79%,68%,68%,65%,79%,77%,68%,70%,79%,60%,60%,68%,75%,64%
